bin,disposition,status,event_m,reference_m,q_event,q_reference,Delta_H11,MASS_COMPONENT_11,WITHIN_DISPOSITION_COMPONENT_11,identity_residual_11,Delta_H01,MASS_COMPONENT_01,WITHIN_DISPOSITION_COMPONENT_01,identity_residual_01
B5,RTF,DEFINED,0.13171979070233647,0.31275720164609055,0.9646792963903796,0.9605263157894737,-0.17334416761832686,-0.1742671197817129,0.0009229521633860231,8.456776945386935e-18,-0.007693243325427233,-0.0067702911620412054,-0.0009229521633860231,-4.119968255444917e-18
B5,NAT,DEFINED,0.37928437864580905,0.4444444444444444,0.9217335425826594,0.9074074074074074,-0.05369304709449452,-0.05959347232816558,0.005900425233671082,-1.9949319973733282e-17,-0.011467018704140883,-0.005566593470469789,-0.005900425233671082,-1.214306433183765e-17
B5,UNF,NOT_DEFINED_IN_CELL,0.005291005291005292,0.0,0.0,,0.0,,,,0.005291005291005292,,,
B5,OTHER,DEFINED,0.0027434842249657067,0.012345679012345678,1.0,1.0,-0.009602194787379972,-0.009602194787379972,0.0,0.0,0.0,-0.0,-0.0,0.0
B5,MISSING,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B6,GOA,DEFINED,0.26778572500311193,0.2222222222222222,0.5203683280658875,0.9605263157894737,-0.07410308239787991,0.03373737361175422,-0.10784045600963414,1.3877787807814457e-17,0.1196665851787696,0.0118261291691355,0.10784045600963414,-4.163336342344337e-17
B6,RTF,DEFINED,0.10812054505205994,0.2573099415204678,0.376486554667342,0.9431818181818182,-0.201984126984127,-0.09844026404190605,-0.10354386294222093,-1.3877787807814457e-17,0.05279473051571909,-0.05074913242650185,0.10354386294222093,1.3877787807814457e-17
B6,NAT,DEFINED,0.28323772775473316,0.3684210526315789,0.2938629623493908,0.8253968253968254,-0.22086048952434584,-0.04767113506058769,-0.1731893544637581,-5.551115123125783e-17,0.13567716464750004,-0.03751218981625808,0.1731893544637581,2.7755575615628914e-17
B6,UNF,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B6,OTHER,DEFINED,0.0029239766081871343,0.014619883040935672,0.5,0.8,-0.01023391812865497,-0.00760233918128655,-0.0026315789473684214,8.673617379884035e-19,-0.0014619883040935672,-0.004093567251461988,0.0026315789473684214,-8.673617379884035e-19
B6,MISSING,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B7,GOA,DEFINED,0.21900164435048158,0.1813953488372093,0.6579099391207212,0.923076923076923,-0.023358501963153117,0.029727529571202834,-0.05308603153435595,-6.938893903907228e-18,0.060964797476425386,0.007878765942069434,0.05308603153435595,6.938893903907228e-18
B7,RTF,DEFINED,0.17360369376785245,0.3023255813953488,0.41750620958538937,0.8769230769230769,-0.19263565891472867,-0.08331069057984156,-0.10932496833488711,0.0,0.0639137712872323,-0.04541119704765482,0.10932496833488711,0.0
B7,NAT,DEFINED,0.302333226808711,0.3302325581395349,0.2240216850148673,0.8732394366197184,-0.22064289411758636,-0.01530642579445738,-0.20533646832312896,-2.7755575615628914e-17,0.1927435627867624,-0.012592905536366513,0.20533646832312896,-2.7755575615628914e-17
B7,UNF,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B7,OTHER,DEFINED,0.0054485049833887045,0.018604651162790697,0.0,1.0,-0.018604651162790697,-0.006578073089700997,-0.0120265780730897,0.0,0.0054485049833887045,-0.006578073089700997,0.0120265780730897,0.0
B7,MISSING,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B8,GOA,DEFINED,0.28330248952978554,0.15457413249211358,0.7635782255520627,1.0,0.061749479757521875,0.11351126374136496,-0.051761783983843075,-6.938893903907228e-18,0.06697887728015012,0.015217093296307013,0.051761783983843075,2.7755575615628914e-17
