bin,disposition,event_H01,reference_H01,Delta_H01,event_H11,reference_H11,Delta_H11,event_m,reference_m
B5,NAT,0.029685244670344713,0.0411522633744856,-0.011467018704140883,0.3495991339754643,0.40329218106995884,-0.05369304709449452,0.37928437864580905,0.4444444444444444
B5,UNF,0.005291005291005292,0.0,0.005291005291005292,0.0,0.0,0.0,0.005291005291005292,0.0
B5,OTHER,0.0,0.0,0.0,0.0027434842249657067,0.012345679012345678,-0.009602194787379972,0.0027434842249657067,0.012345679012345678
B5,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B6,GOA,0.128438515003331,0.008771929824561403,0.1196665851787696,0.1393472099997809,0.2134502923976608,-0.07410308239787991,0.26778572500311193,0.2222222222222222
B6,RTF,0.06741461355665476,0.014619883040935672,0.05279473051571909,0.040705931495405176,0.24269005847953215,-0.201984126984127,0.10812054505205994,0.2573099415204678
B6,NAT,0.200004650027617,0.06432748538011696,0.13567716464750004,0.08323307772711615,0.30409356725146197,-0.22086048952434584,0.28323772775473316,0.3684210526315789
B6,UNF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B6,OTHER,0.0014619883040935672,0.0029239766081871343,-0.0014619883040935672,0.0014619883040935672,0.011695906432748537,-0.01023391812865497,0.0029239766081871343,0.014619883040935672
B6,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B7,GOA,0.07491828584851841,0.013953488372093023,0.060964797476425386,0.14408335850196316,0.16744186046511628,-0.023358501963153117,0.21900164435048158,0.1813953488372093
B7,RTF,0.1011230736128137,0.037209302325581395,0.0639137712872323,0.07248062015503876,0.2651162790697674,-0.19263565891472867,0.17360369376785245,0.3023255813953488
B7,NAT,0.2346040279030415,0.04186046511627907,0.1927435627867624,0.06772919890566949,0.28837209302325584,-0.22064289411758636,0.302333226808711,0.3302325581395349
B7,UNF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B7,OTHER,0.0054485049833887045,0.0,0.0054485049833887045,0.0,0.018604651162790697,-0.018604651162790697,0.0054485049833887045,0.018604651162790697
B7,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B8,GOA,0.06697887728015012,0.0,0.06697887728015012,0.21632361224963545,0.15457413249211358,0.061749479757521875,0.28330248952978554,0.15457413249211358
B8,RTF,0.059389497123770646,0.03470031545741325,0.024689181666357397,0.08641729354205491,0.2302839116719243,-0.1438666181298694,0.14580679066582555,0.26498422712933756
