rank,window_start,M_max_cell,U_full_upper
142,2021-08-01,0.20571914736674463,0.08008104256284773
143,2022-08-21,0.20939747635914793,0.11733522699051425
144,2023-12-17,0.217154801065163,0.0774246613054918
145,2022-06-26,0.21988799171534051,0.16061973900038762
146,2023-06-11,0.22469069558913304,0.06147428370218039
147,2023-02-26,0.24487729983524054,0.1019962004030292
148,2022-06-19,0.25819042480763554,0.12957141805383057
149,2023-12-10,0.2656402116402115,0.09154370572324255
150,2024-05-05,0.2903854315619021,0.21251620085921322
151,2024-05-12,0.3064442770597925,0.20349314667127477
152,2022-05-22,0.3082923270142067,0.09388618966799281
153,2022-05-15,0.3282019628990655,0.08107920910423097
