rank,window_start,U_full_lower,U_full_upper
176,2022-05-29,0.08064861935369469,0.08064862935369468
177,2024-04-28,0.081074485671027,0.08107449567102709
178,2022-05-15,0.04467919669861089,0.08107920910423097
179,2022-07-24,0.08124983542323994,0.08124984542323958
180,2022-07-31,0.05717551095128451,0.08139887574381073
181,2024-02-04,0.08241495918559139,0.08241496918559138
182,2023-04-16,0.04744694829833601,0.08431987810474671
183,2022-10-09,0.08501093394151907,0.085010943941519
184,2020-11-01,0.08575057759448693,0.08575058759448703
185,2021-01-03,0.052314193701774404,0.08650103894778999
186,2024-08-11,0.08718374045582322,0.08718375045582324
187,2024-08-25,0.08178250845317678,0.08731503033087307
188,2022-08-14,0.039950845181069464,0.08835875107773608
189,2022-11-27,0.08840894444878096,0.08840895444878097
190,2023-10-01,0.09026337548109567,0.09042381091233798
191,2020-06-14,0.09093290334060797,0.09093291334060814
192,2023-03-19,0.09125276490965392,0.09125277490965383
193,2023-12-10,0.0726554345698416,0.09154370572324255
194,2024-06-30,0.09221097502352901,0.09221098502352908
195,2023-06-18,0.09233811681581729,0.09233812681581693
196,2023-09-24,0.0822451538407146,0.09246202518188801
197,2024-03-31,0.09358325730524938,0.09358326730524943
198,2022-05-22,0.05482738267965361,0.09388618966799281
199,2020-08-09,0.0951084674425652,0.09510847744256512
200,2023-10-22,0.09679563029670954,0.09679564029670944
201,2023-05-14,0.09705742771179207,0.09705743771179205
202,2022-08-28,0.10034530442516373,0.10034531442516356
203,2024-12-01,0.10056963158077475,0.10056964158077472
204,2023-02-26,0.056572952430308805,0.1019962004030292
205,2022-12-04,0.07694135580855345,0.10202628581267517
206,2024-09-29,0.10377611553696164,0.10377612553696144
207,2024-10-06,0.10488723660275912,0.10488724660275908
208,2023-05-21,0.10832814525696481,0.10832815525696471
209,2022-07-17,0.10940346286185174,0.1094034728618514
210,2022-07-10,0.11586819344736965,0.11586820344736984
211,2022-08-21,0.11733521699051458,0.11733522699051425
212,2021-01-31,0.12140198907358085,0.12140199907358126
213,2023-11-26,0.12660942093880248,0.12660943093880275
214,2022-06-19,0.12957140805383133,0.12957141805383057
215,2022-06-26,0.160619729000388,0.16061973900038762
216,2024-05-12,0.20349313667127514,0.20349314667127477
217,2024-05-05,0.21251619085921317,0.21251620085921322
