date,n,dispatch_share,arrival_share,j01_share,j01_given_arrival
2021-08-20,736,0.7649456521739131,0.7921195652173914,0.09239130434782608,0.11663807890222985
2021-08-21,614,0.7736156351791531,0.7980456026058632,0.09283387622149837,0.11632653061224489
2021-08-22,579,0.8082901554404145,0.772020725388601,0.039723661485319514,0.05145413870246085
2021-08-23,724,0.7914364640883977,0.8011049723756906,0.0787292817679558,0.09827586206896552
2021-08-24,711,0.7960618846694796,0.8382559774964838,0.07454289732770746,0.08892617449664429
2021-08-25,647,0.7387944358578052,0.7527047913446677,0.07109737248840804,0.0944558521560575
2021-08-26,671,0.7317436661698957,0.7377049180327869,0.08643815201192251,0.11717171717171718
2021-08-27,711,0.7932489451476793,0.7623066104078763,0.05907172995780591,0.07749077490774908
2021-08-28,630,0.8095238095238095,0.7841269841269841,0.046031746031746035,0.058704453441295545
2021-08-29,950,0.7294736842105263,0.4378947368421053,0.05789473684210526,0.13221153846153846
2021-08-30,701,0.6462196861626248,0.6533523537803139,0.14978601997146934,0.2292576419213974
2021-08-31,759,0.47299077733860345,0.6679841897233202,0.2898550724637681,0.4339250493096647
2021-09-01,775,0.40903225806451615,0.6916129032258065,0.3406451612903226,0.4925373134328358
2021-09-02,693,0.7445887445887446,0.7474747474747475,0.12265512265512266,0.1640926640926641
2021-09-03,786,0.7582697201017812,0.7544529262086515,0.12086513994910941,0.16020236087689713
2021-09-04,890,0.7561797752808989,0.7348314606741573,0.0898876404494382,0.12232415902140673
2021-09-05,787,0.7890724269377383,0.7636594663278272,0.06861499364675985,0.08985024958402663
2021-09-06,880,0.7977272727272727,0.7454545454545455,0.0659090909090909,0.08841463414634146
2021-09-07,718,0.8022284122562674,0.7910863509749304,0.0584958217270195,0.07394366197183098
2021-09-08,724,0.7679558011049724,0.7762430939226519,0.10220994475138122,0.13167259786476868
2021-09-09,718,0.7325905292479109,0.8231197771587744,0.16573816155988857,0.20135363790186125
2021-09-10,720,0.5819444444444445,0.8083333333333333,0.28055555555555556,0.3470790378006873
2021-09-11,664,0.7936746987951807,0.8087349397590361,0.08283132530120482,0.10242085661080075
2021-09-12,586,0.841296928327645,0.856655290102389,0.06313993174061433,0.07370517928286853
2021-09-13,747,0.7965194109772423,0.8259705488621151,0.09370816599732262,0.11345218800648298
2021-09-14,653,0.77947932618683,0.8055130168453293,0.08269525267993874,0.10266159695817491
2021-09-15,649,0.8320493066255779,0.810477657935285,0.05855161787365177,0.07224334600760456
