window_start,bin,Delta_J00,Delta_J10,Delta_J01,Delta_J11,Delta_arrival,Delta_dispatch,simplex_error,arrival_identity_error,dispatch_identity_error
2021-03-21,B8,-0.024140174679461595,0.03438396482992438,0.0,-0.010243790150462773,-0.010243790150462773,0.02414017467946161,1.3877787807814457e-17,0.0,0.0
2021-03-21,B9,0.0010877581120943957,0.01675884955752212,0.0,-0.017846607669616526,-0.017846607669616526,-0.0010877581120944044,-8.673617379884035e-18,0.0,0.0
2021-03-21,B10,-0.055364818080867476,-0.028416498910326063,0.0,0.08378131699119352,0.08378131699119352,0.05536481808086746,-1.3877787807814457e-17,0.0,0.0
2021-03-28,B1,-0.02267600742769498,0.02510759617989481,0.0,-0.002431588752199832,-0.002431588752199832,0.022676007427694978,-3.469446951953614e-18,0.0,0.0
2021-03-28,B2,0.004445394382698458,0.07040284167243417,0.0,-0.0748482360551326,-0.0748482360551326,-0.004445394382698434,2.42861286636753e-17,0.0,0.0
2021-03-28,B3,-0.008169029306924116,0.013632259229549864,0.0,-0.005463229922625736,-0.005463229922625736,0.008169029306924128,1.214306433183765e-17,0.0,0.0
2021-03-28,B4,0.006227489625896986,0.01830858932338303,0.0,-0.02453607894928001,-0.02453607894928001,-0.006227489625896983,3.469446951953614e-18,0.0,0.0
2021-03-28,B5,0.0006076874383735349,-0.05684768809052417,0.0,0.05624000065215064,0.05624000065215064,-0.0006076874383735345,4.336808689942018e-19,0.0,0.0
2021-03-28,B6,0.035801400304938565,-0.06008595663145642,0.0,0.024284556326517836,0.024284556326517836,-0.035801400304938585,-1.734723475976807e-17,0.0,0.0
2021-03-28,B7,0.003703703703703704,-0.03683333333333334,0.0,0.03312962962962963,0.03312962962962963,-0.003703703703703716,-1.214306433183765e-17,0.0,0.0
2021-03-28,B8,0.028483924878459806,0.0073734002072271,0.0,-0.035857325085686925,-0.035857325085686925,-0.028483924878459826,-1.9949319973733282e-17,0.0,0.0
2021-03-28,B9,0.014927580922478877,0.01905294535396576,0.0,-0.03398052627644465,-0.03398052627644465,-0.014927580922478888,-1.0408340855860843e-17,0.0,0.0
2021-03-28,B10,-0.020428271433106243,-0.016779934189960058,0.0,0.03720820562306632,0.03720820562306632,0.020428271433106264,2.0816681711721685e-17,0.0,0.0
2021-04-11,B1,0.013656416724275314,0.004514253523802495,0.0,-0.018170670248077794,-0.018170670248077794,-0.0136564167242753,1.474514954580286e-17,0.0,0.0
2021-04-11,B2,0.01196164695420569,-0.024606074639763574,0.0,0.012644427685557883,0.012644427685557883,-0.011961646954205691,-1.734723475976807e-18,0.0,0.0
2021-04-11,B3,0.013588513286337624,-0.0120549241366955,0.0,-0.0015335891496421148,-0.0015335891496421148,-0.013588513286337615,8.673617379884035e-18,0.0,0.0
2021-04-11,B4,-0.030373333984264367,-0.05866045657034597,0.0,0.08903379055461037,0.08903379055461037,0.0303733339842644,3.469446951953614e-17,0.0,0.0
2021-04-11,B5,-0.022249036742448824,0.017399575032469174,0.0,0.004849461709979663,0.004849461709979663,0.02224903674244884,1.214306433183765e-17,0.0,0.0
2021-04-11,B6,-0.0020933979012589176,-0.013942712272577568,0.0,0.016036110173836497,0.016036110173836497,0.002093397901258929,1.1275702593849246e-17,0.0,0.0
2021-04-11,B7,0.011345387298302097,0.004143875556431608,0.0,-0.015489262854733702,-0.015489262854733702,-0.011345387298302093,2.6020852139652106e-18,0.0,0.0
2021-04-11,B8,-0.004754900166668472,-0.020231859540687958,0.0,0.024986759707356428,0.024986759707356428,0.00475490016666847,-1.734723475976807e-18,0.0,0.0
2021-04-11,B9,-0.005535426731078905,-0.015999424890729242,0.0,0.021534851621808154,0.021534851621808154,0.005535426731078912,6.938893903907228e-18,0.0,0.0
2021-04-11,B10,-0.008817315159990739,-0.031911088567435325,0.0,0.04072840372742605,0.04072840372742605,0.008817315159990728,-1.0408340855860843e-17,0.0,0.0
2021-04-18,B1,-0.025582032166847367,-0.032762750739665066,0.0,0.05834478290651241,0.05834478290651241,0.025582032166847346,-2.0816681711721685e-17,0.0,0.0
2021-04-18,B2,-0.01575338104815302,0.007388698223753045,0.0,0.00836468282439998,0.00836468282439998,0.015753381048153027,5.204170427930421e-18,0.0,0.0
2021-04-18,B3,-0.02061772549170622,-0.003921816384751883,0.0,0.024539541876458106,0.024539541876458106,0.02061772549170622,1.734723475976807e-18,0.0,0.0
2021-04-18,B4,0.021167722704054884,0.014670396500846328,0.0,-0.03583811920490123,-0.03583811920490123,-0.0211677227040549,-1.734723475976807e-17,0.0,0.0
2021-04-18,B5,0.018340943683409435,0.041439715155468584,0.0,-0.05978065883887801,-0.05978065883887801,-0.018340943683409425,1.0408340855860843e-17,0.0,0.0
2021-04-18,B6,-0.03362108531887818,0.03752202016208807,0.0,-0.0039009348432098977,-0.0039009348432098977,0.03362108531887817,-1.214306433183765e-17,0.0,0.0
2021-04-18,B7,-0.018655993855497436,-0.01783931812289345,0.0,0.03649531197839087,0.03649531197839087,0.018655993855497422,-1.3877787807814457e-17,0.0,0.0
2021-04-18,B8,0.0066662306825822455,0.019541926244361952,0.0,-0.026208156926944188,-0.026208156926944188,-0.006666230682582236,9.540979117872439e-18,0.0,0.0
2021-04-18,B9,-0.016613032001395446,-0.010569256744803149,0.0,0.027182288746198605,0.027182288746198605,0.016613032001395456,1.0408340855860843e-17,0.0,0.0
2021-04-18,B10,-0.006845886924215906,-0.0002945966131344697,0.0,0.00714048353735039,0.00714048353735039,0.006845886924215921,1.474514954580286e-17,0.0,0.0
2021-04-25,B1,0.0022678870663008126,-0.04009960811018313,0.0,0.0378317210438823,0.0378317210438823,-0.002267887066300829,-1.6479873021779667e-17,0.0,0.0
2021-04-25,B2,-0.01610936267908234,-0.03292588357054297,0.0,0.049035246249625325,0.049035246249625325,0.016109362679082355,1.3877787807814457e-17,0.0,0.0
2021-04-25,B3,-0.01738781845868305,-0.01763483917056756,0.0,0.0350226576292506,0.0350226576292506,0.017387818458683042,-6.938893903907228e-18,0.0,0.0
2021-04-25,B4,-0.005234657697711887,0.03085359723290757,0.0,-0.025618939535195687,-0.025618939535195687,0.005234657697711885,-1.734723475976807e-18,0.0,0.0
2021-04-25,B5,0.010292079462039937,-0.06479304621597111,0.0,0.054500966753931165,0.054500966753931165,-0.010292079462039944,-6.938893903907228e-18,0.0,0.0
2021-04-25,B6,-0.011919683311147497,0.011326456383201905,0.0,0.0005932269279456043,0.0005932269279456043,0.01191968331114751,1.1926223897340549e-17,0.0,0.0
2021-04-25,B7,-0.045192307692307684,-0.001521114953564183,0.0,0.04671342264587189,0.04671342264587189,0.045192307692307705,2.0816681711721685e-17,0.0,0.0
2021-04-25,B8,0.005997298305431842,-0.037518225022526955,0.0,0.031520926717095124,0.031520926717095124,-0.005997298305431831,1.1275702593849246e-17,0.0,0.0
