window_start,bin,common_support_strata,event_coverage,reference_coverage,event_record_count,reference_record_count,weight_vector_hash,schema_era,timestamp_validity
2020-02-09,B3,54,0.90633608815427,0.9012658227848102,363,395,d7c2f41e4ce687d8767321cf4a9b1232f09e5ce528776c8f4b050f4ce5f700db,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-09,B4,73,0.9641434262948207,0.9486238532110092,502,545,e41c80dd8b24f5567dd712f781dcb9c96361a7fda1356866b2538099e01a0232,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-09,B5,48,0.883419689119171,0.9114832535885168,386,418,ec5f3c1cf3f36654ec018f2430ae9449f531de9624830504a198963639932f87,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-09,B6,70,0.9317738791423001,0.9422066549912435,513,571,f4df49b30011278d70b156a2d1b900dfa098c09363e00db1fad262e208d415f1,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-09,B7,47,0.9295392953929539,0.8676470588235294,369,340,5b78bf294cca12d02a1b3e7d187061316e3b3a1c906197b6932744d593f4f7f3,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-09,B8,64,0.9215291750503019,0.9454545454545454,497,495,00de15578fe7d3a5cfc8db1ef04e46ca2f9e678383c0205946ca0e0f599f635f,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-09,B9,53,0.8863636363636364,0.9380281690140845,308,355,8942d3a35293b05367ab15c6308522596c4be2a8237e8a5ad083a7fc03af953e,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-09,B10,70,0.9427480916030534,0.9135021097046413,524,474,a85f6d6f6b1ad229063f7101fc43db8d7be615af2037a82a5e04407dc10501f3,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-16,B1,57,0.9148264984227129,0.884020618556701,317,388,71fda214dae6111de7ca0e318d3a39653210e2ef9b3c0227bd372d25b8549244,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-16,B2,68,0.9200913242009132,0.9372623574144486,438,526,751af648a07347544c05a05d8182431c3747965f466a8a61c0f8713fd3237e8b,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-16,B3,51,0.8762541806020067,0.9118457300275482,299,363,2b397b062229da63884014e501e17dd98501551c65aa131010980edeb7d35c0a,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-16,B4,65,0.9213483146067416,0.8884462151394422,445,502,14af3e7f38a70edfde38f8de934cf35019ee9d4234476084de2e3ba2ba307c3b,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-16,B5,57,0.9046321525885559,0.9145077720207254,367,386,3c24aac4d7cea8d1900e7470f59a7565d29955b0c6972d11ac6ba23c6c5c88bf,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-16,B6,76,0.9445506692160612,0.9571150097465887,523,513,8c85bf49f43eee6392d49e9d8d6d5b54c3b45b1384c1eee842cd3f559dc3e557,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-16,B7,52,0.8885793871866295,0.9566395663956639,359,369,98203d93727495e21890ea7f88c5fbdbbc78caaf6aed2fad6bce5f192d9e478c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-16,B8,76,0.9239130434782609,0.9537223340040242,552,497,9680a4422b1dc04d4a2814c4c4ed20e1ad7db3f68d0ab2807c702024effd0e68,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-16,B9,57,0.9397260273972603,0.9253246753246753,365,308,935df5cbda7f5949994f87d11a98618e5202788e055b53b49e1b1cbce3385a96,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
