window_start,lower,upper,width,feasible_start_count,refinement_trigger_Ida,refinement_trigger_0_25,refinement_status,root_certificate
2020-09-27,0.04971566131604132,0.049715671316041356,1.0000000036369805e-08,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.04971567131604132, ""Q_dimension"": 7, ""raw"": 0.04971567131604132, ""spectral"": 0.01762262296900198, ""support_only"": 0.0}"
2020-10-04,0.04200795969197283,0.04200796969197274,9.999999911469715e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.04200796969197283, ""Q_dimension"": 7, ""raw"": 0.04200796969197283, ""spectral"": 0.014764040315340428, ""support_only"": 0.0}"
2020-10-11,0.03755967142221198,0.037559681422211944,9.999999960041972e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.037559681422211985, ""Q_dimension"": 7, ""raw"": 0.037559681422211985, ""spectral"": 0.009841185391092772, ""support_only"": 0.0}"
2020-10-18,0.05588884663610432,0.05588885663610426,9.99999993922529e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.05588885663610432, ""Q_dimension"": 7, ""raw"": 0.05588885663610432, ""spectral"": 0.018101355619517822, ""support_only"": 0.0}"
2020-11-01,0.08575057759448693,0.08575058759448703,1.0000000105758744e-08,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.08575058759448692, ""Q_dimension"": 7, ""raw"": 0.08575058759448692, ""spectral"": 0.028294214709548876, ""support_only"": 0.0}"
2020-11-08,0.021837304294556763,0.022893564213453295,0.0010562599188965321,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.021837314294556764, ""Q_dimension"": 7, ""raw"": 0.021837314294556764, ""spectral"": 0.008326337529601635, ""support_only"": 0.0}"
2020-11-15,0.04361335479041498,0.04361336479041494,9.999999960041972e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.04361336479041498, ""Q_dimension"": 7, ""raw"": 0.04361336479041498, ""spectral"": 0.01204888143603235, ""support_only"": 0.0}"
2020-11-29,0.06094555552009382,0.06094556552009361,9.999999786569624e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.06094556552009382, ""Q_dimension"": 7, ""raw"": 0.06094556552009382, ""spectral"": 0.020583972950920956, ""support_only"": 0.0}"
2020-12-06,0.06172729481617192,0.061727304816171766,9.99999984901967e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.06172730481617192, ""Q_dimension"": 7, ""raw"": 0.06172730481617192, ""spectral"": 0.021530640007240448, ""support_only"": 0.0}"
2020-12-13,0.03678129964225379,0.03678130964225376,9.99999997391976e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.03678130964225379, ""Q_dimension"": 7, ""raw"": 0.03678130964225379, ""spectral"": 0.011102051905280958, ""support_only"": 0.0}"
