scenario_id,family_id,t37_family_id,lambda_hours,state_id,systems,omega_union,X_componentwise,exact_or_grid_status,source_support_state_hash,component_state_hashes,chronology_ids,source_support_table_sha256
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00166,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.277890308137,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.277890308137],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,a5551614fdfbb20b4a1bb7ea0853fc307911c245d7fa8deae30b0e9abc56c5f3,"[""05ac601e9a6fee172e3ff29f639e998841a947f874dc64927bd40fecee058f7e""]","[""CURFEW_START_00214""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00167,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.262458209372,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.262458209372],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,330dcbe2b4a03d6bcabf526c02479964c450d8742be0148b62fbfe521a359b56,"[""8940b8d635d6f1bbe0662877f8f7428071945093a8b0f19ccd9c2ad7f4c07470""]","[""CURFEW_START_00215""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00168,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.26021354046,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.26021354046],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,5766762e7cb4b74fee0c7a0fed7732959eb195a0bb9114aadb2b60c82f9708e3,"[""2704d59b858134cc952939b19928954ad103fe584ea9549f70661e0132d1ea11""]","[""CURFEW_START_00217""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00169,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.258155927292,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.258155927292],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,706e632a2e0644f8ac477c9ad907adc49c6ca6a4089359d1d6b5033ece178bf1,"[""4ba58b782576e9aa5b30f7a57521f5fbb3124f1dd2ae08d471ae3d99a4924569""]","[""CURFEW_START_00218""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00170,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.254040700954,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.254040700954],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,77588193de84fa843e6ea8d641f296b64937651f1e3d19722113638bdd3155d3,"[""2f6b946a7b297a390419385245c813cbe71c8579fdfb96ed93f769541f1c6b44""]","[""CURFEW_START_00219""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00171,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.247867861448,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.247867861448],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,cb51eadab5a3e0fa9b7206413073348bfbcea95e95e32f5ecdf72de7fba1ccf2,"[""753d251c09792752f00c356c32ccd92c33fb40e18b25b6146fc9af4fe6288d6b""]","[""CURFEW_START_00220""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00172,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.245623192537,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.245623192537],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,3045365a87e9089debe25f64239e7efec53351aee4beb44c886e2e4c6768e3d8,"[""7d4888b64816a1bb73c9c27705b68d3dd801de79e42e72f90e0b91cf96793ff1""]","[""CURFEW_START_00221""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00173,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.239313178819,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.239313178819],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,d8b0917433f9a9c577c749a4f607ae4d5ecbac4961594e8da24c0f6cf9e69910,"[""279f9e4612db09110f9fdc4d3458e3dea465fde417f4a72ebba0a0590d8edd38""]","[""CURFEW_START_00222""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00174,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.223881080054,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.223881080054],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,f8eafefeeb21b1c915cdd9fcf19920255434a305eb5ad5e770e689420653b41b,"[""4d077ad686ea08c57a42ad0c4caae3b0194d1ca200a172816969f6b350be1f15""]","[""CURFEW_START_00223""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00175,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.208448981288,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.208448981288],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,bf513c443fae8666c551a88a5797044f9de1676ee7cd6047ad10c03631c8032a,"[""bfb6f5d6c6135e550167b43d41b65d11c847bc170b16c8e6c6ed4ac7ea2bc5f8""]","[""CURFEW_START_00226""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
